Project,LoC,FLoC
War And Peace x 14, Ulysses x 25, The Catcher in The Rye x 63,1,1000000
Syphilis,1.14,1140000
Age of Empires Online,1.2,1200000
CESM Community Earth System Model,1.2,1200000
Linux Kernel 2.2.0 (1999),1.8,1800000
Unreal Engine 3,2,2000000
Lines of code de-bugged in the Jurassic Park network by Dennis Nedry,2,2000000
Windows 3.1 (1992),2.5,2500000
Drones (control software),3.5,3500000
ROOT software (at the LHC),3.5,3500000
Windows NT 3.1 (1993),4.5,4500000
HD DVD Players on XBox,4.7,4700000
HealthCare.gov - needed to repair,5,5000000
Mars Curiosity Rover,5,5000000
Linux kernel 2.6.0 (2003),5.2,5200000
Windows XP Service Pack 1,6.1,6100000
Chevy Volt (electric car),10,10000000
Android (upper estimate),15,15000000
Linux 3.1 (recent version, 2013),15,15000000
Microsoft Office for Mac (2006),30,30000000
Windows XP (2001),40,40000000
Microsoft Office (2013),45,45000000
Large Hadron Collider,50,50000000
Microsoft Visual Studio 2012,50,50000000
Windows Vista (2007),50,50000000
Debian 5.0 codebase,68,68000000
Software in typical new car, 2013,100,100000000
Debian 5.0 (all software in package),324,324000000
Computer virus (worm),0.000002,2
iOS app - simple game,0.01,10000
Unix v 1.0 (1971),0.01,10000
Win32/Simile virus,0.014,14000
iOS app - photo editing,0.039924,39924
Pacemaker,0.08,80000
Photoshop v1 (1990),0.12,120000
Camino,0.2,200000
Quake 3 engine,0.31,310000
Space Shuttle,0.4,400000
Ubuntu,0.98,980000
18000 pages of printed text,1,1000000
Crysis,1,1000000
War And Peace x 14. Ulysses x 25, The Catcher in The Rye x 63,1,1000000
F-22 Raptor,1.7,1700000
Hubble Space Telescope,2,2000000
Unreal 3 engine,2,2000000
Windows 3.1,2.5,2500000
Large Hadron Collider (ROOT software, pre-bug fixing),3.5,3500000
Drones,3.5,3500000
Facebook (Android codebase),4,4000000
Photoshop CS 6 (2012),4.5,4500000
Windows NT 3.1,4.5,4500000
Mars Curiosity Probe,5,5000000
Mars Rover Curiosity,5,5000000
Linux kernel 2.6.0,5.2,5200000
Google Chrome (estimate 2) (2011),5.4,5400000
World of WarCraft (Server),5.5,5500000
Google Chrome,6.7,6700000
Windows NT 3.5 (1994),7.5,7500000
Windows NT 3.51 (1995),9.5,9500000
Firefox,9.7,9700000
Chevy Volt (electri car),10,10000000
Intuit Quickbooks,10,10000000
Linux kernel 2.6.29,11,11000000
Windows NT 4.0 (1996),11.5,11500000
Android,12,12000000
Mozilla Core,12.5,12500000
MySQL,12.5,12500000
Linux kernel 2.6.32,12.6,12600000
Linux kernel 2.6.35,13,5,13500000
Boeing 787, total flight software,14,14000000
Linux kernel 3.6,15.9,15900000
Linux Kernel,16.2,16200000
Linux 3.1,17,17000000
Apache Open Office,23,23000000
F-35 Fighter,24,24000000
Microsoft Office (2001),25,25000000
Windows 2000 (2000),29,29000000
Mac Office in 2006,30,30000000
Symbian,37.6,37600000
Windows 7,40,40000000
Windows XP,40,40000000
MS Office,45,45000000
Large Hadron Collider (ROOT software),50,50000000
Windows Server 2003,50,50000000
Windows Vista,50,50000000
Debian 2.2,57,57000000
Facebook (without backend code),62,62000000
US Army's Future Combat System,63.8,63800000
Mac OS X 10.4,86,86000000
Software in typical new car. 2013,100,100000000
Debian 3.0,104,104000000
Debian 3.1,215,215000000
Debian 4.0,283,283000000
Debian 5.0,324,324000000
Python,326,326000000
Healthcare.gov,500,500000000
PHP,1023,1023000000